[2024-12-05 00:00:51] [信息] 程序启动，准备初始化电池监控服务... 
[2024-12-05 00:00:51] [信息] BatteryMonitor 实例已创建 
[2024-12-05 00:00:51] [信息] 正在启动电池监控服务... 
[2024-12-05 00:00:51] [信息] 电池监控服务已启动，将每5分钟检查一次电池状态 
[2024-12-05 00:00:51] [信息] 开始检查电池状态... 
[2024-12-05 00:00:51] [信息] 电池监控服务初始化完成 
[2024-12-05 00:00:51] [信息] 正在建立数据库连接... 
[2024-12-05 00:00:52] [信息] 数据库连接建立成功 
[2024-12-05 00:00:52] [信息] 登录界面已启动 
[2024-12-05 00:00:52] [详细] 执行SQL查询: SELECT * FROM powerbank WHERE status = 'InUse' 
[2024-12-05 00:00:52] [信息] 已处理 0 个正在使用的电池 
[2024-12-05 00:00:52] [详细] 执行SQL查询: SELECT * FROM powerbank WHERE status = 'Unavailable' 
[2024-12-05 00:00:52] [信息] 已处理 0 个正在充电的电池 
[2024-12-05 00:00:52] [信息] 电池状态检查完成 
[2024-12-05 00:00:58] [详细] 执行SQL查询: SELECT * FROM User WHERE username = ? AND password = ? 
[2024-12-05 00:00:58] [信息] 用户认证尝试: wujiafa - 成功: true 
[2024-12-05 00:00:58] [详细] 执行SQL查询: SELECT status FROM User WHERE username = ? AND password = ? 
[2024-12-05 00:00:58] [信息] 检查用户是否为管理员: wujiafa - 结果: false 
[2024-12-05 00:00:58] [详细] 执行SQL查询: SELECT * FROM User WHERE username = ? 
[2024-12-05 00:00:58] [信息] 查询所有可用的电源 
[2024-12-05 00:00:58] [详细] 执行SQL查询: SELECT * FROM powerbank WHERE status = 'Available' 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 1, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 2, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 3, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 4, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 5, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 6, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 7, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 8, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 9, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 10, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 11, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 12, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 13, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 14, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 15, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 16, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 17, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 18, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 19, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 20, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 21, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 22, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 23, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 24, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 25, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 26, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 27, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 28, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 29, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 30, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 31, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 32, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 33, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 34, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 35, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 36, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 37, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 38, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 39, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 40, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 41, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 42, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 43, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 44, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 45, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 46, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 47, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 48, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 49, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 50, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 51, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 52, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 53, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 54, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 55, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 56, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 57, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 58, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 59, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 60, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 61, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 62, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 63, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 64, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 65, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 66, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 67, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 68, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 69, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 70, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 71, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 72, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 73, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 74, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 75, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 76, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 77, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 78, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 79, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 80, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 81, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 82, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 83, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 84, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 85, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 86, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 87, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 88, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 89, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 90, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 91, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 92, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 93, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 94, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 95, 品牌: 饿了么 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 96, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 97, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 98, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 99, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 100, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 101, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 102, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 103, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 104, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 105, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 106, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 107, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 108, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 109, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 110, 品牌: 美团 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 111, 品牌: 怪兽 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 112, 品牌: 街电 
[2024-12-05 00:00:58] [详细] 找到可用电源 - ID: 113, 品牌: 美团 
